address,value_zubrin,last_height
MM8YbLK8CsouJodAxX7EoN1LVNNwx7wtai,500000000,1350268
MLFCX8h6Wzg7uYpJpggN8bAB7bHELz6ijq,10802270,954361
MGeDCcVcQds6zK7csAiCWbFfnqACbE5eq3,43200000,822994
MAvZMiVNJ4LV3abasxcGhcRJYivp9ngqMS,200000000,1347952
MM5BCuBGtkfK9g6iERkxBpLyTa7U9jVRUp,22100000,822490
MJyzJxgYBBw1zfgymcJxqFTW1xAK1tx1xs,31000000,822450
MCFsEMspP8epJsku8qBJJ1NXoAyGXBZHSC,1000000,841064
MR3j91m9b5TyKa4ReZdexq8pJnHPFJhC6e,43100000,827550
MDqNRVommK53ipYh2LFUWrn7NAZJFXDH7G,100000,897671
MFhtCEudFXabFeyKYVHe37QZxqmzRY1Tvd,2000000,843047
MCdHUkD1Nj6g9F8qxMQ1e44rcpK83mMDh8,33100000,647684
MUrbDBC85wkDJMa6cEmyPX4w5Np5icpZet,400000,872489
MUX62ZyhwPkFYkjqurJhrXg64JKwovBDzE,1000000,11363
MVkzEVB2vU8VARZRFzJBXY7Jk5q55pVFtz,10000000,945817
MUpTjobBVfXo9YSrK1GQBDHct5LZQt8z56,1000000,841064
MEap2XtFm8Por2GUSTfppMNJcpSiXaHeZj,1000000,841190
MSG6WYmyYsntuSnhYxR9d6VfNS6Kc8EEkR,51100000,824914
MV5F9WWSms2VgBrjZtnvW9HWzPGoHsFasY,33100000,826830
MN5iadZtk4DQXCC2GV8HM6E2gGABFCAfXU,32200000,843088
MTL13uKMw7hFtsb8SKa8UpAorwPYTsMDL5,42200000,842973
MVugf7Jcagtq5kkVjLMiUCKQX4XKG3tdpp,52200000,827625
MFMkrRojQakx6byynVj9uZxRGj3QYAD969,511315120000,1406689
MGwtysorkdmxSW9ne8bLYvajLNY7Gx78Ze,11739325,924602
MLwU5JBSdpFnGQghQ24yn9swnwpuwixjqh,80000000,766960
MPGDrMjxYnUEjtHEFcHPkXGVEzBJQzo5mn,250000000,819165
MWDnph1VwKMM9PS162tmNvNFyqhKPNXKmp,53100000,814896
MJeBcxdSkyphagdHXR9q1QshDMCoeT4wTq,6177291,51226
MEBCwQL6u4FthUaqsg6GRJYe9SqwFpvdxY,23000000,843305
MCZCU68TZ3m5tXKJXmRCyTAv53AbPVwWCG,37823631150836,246554
MDq2HYrWaRxbz7U86aigor3XkCichVXm1N,3612297164,88304
MNjzGjep7ep89pJQt7zPExJitEhcninrnD,2000000,833897
MHTj2QHMbKdmCATaiF4oXFBivhUmTk2pPm,200000000,899679
MSJ6jigFp6KD5JfCsuZyYXX9aNDGH7qwZE,166666666700,1600303
MQebe5ZsuAaA1dbHfYE6KrQYMWxJXtXZMx,12000000,827698
MFMzmFz2DReDpVGDiFYZzxuot8Vt1zMxvx,13985000000,1675065
MCBy7iEZHLtsp2gSJ5JxXkDZMfQdJXDqHq,23000000,846207
MJjcK7whnMTp2MajYZ3tXXwSsF13NjPdQm,1798504043176,272127
MUBeP6uB3AWXqN8aGPQBoQydgHE4YtaEtw,33000000,823987
MLRSsKo3pCoNiPrYPdEFyP5hjhEPPQLkkX,5566348235604,968092
MTBsPScwXt8eJ81fQrLDADTfdiHMYefKd4,135032609,833452
MEgfnkNfXTwVi2RQayLtH1hxLTqNbCoLPz,51000000,824374
MQhbsyjfkhieJ6HR5JHjSnkWN723esa48K,32100000,835548
MFiptwUThRH8j926kHyHhhwxg4865XdKFt,1800000,9449
M8bThzZRmrgsujQaRSh2pkZ8zMcazzHbgk,32000000,822994
MML7APdS6QVqTHfZdScs4bs3sDBJt6HZuk,31200000,881409
